Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
S1,,344122.079,4482802.105,2101.447,south corner,-106.83905676,40.48128821,2101.447,Global,0.4,0.012,0.012,0.011,0.016,2.134,m,FIX,2025-05-14 13:24:12.4 UTC-06:00,2025-05-14 13:24:12.4 UTC-06:00,1,1.3,1.5,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,49.132,,WGS 84 / UTM zone 13N,6,8,9,6,0
N1,,344097.905,4482819.308,2103.371,West corner,-106.83934606,40.48143858,2103.371,Global,0.9,0.012,0.012,0.011,0.017,2.134,m,FIX,2025-05-14 13:26:10.8 UTC-06:00,2025-05-14 13:26:10.8 UTC-06:00,1,1.3,1.6,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,74.317,,WGS 84 / UTM zone 13N,6,7,10,6,0
N2,,344098.318,4482820.123,2102.877,,-106.83934138,40.48144599,2102.877,Global,0.6,0.012,0.012,0.011,0.016,2.134,m,FIX,2025-05-14 13:26:33.8 UTC-06:00,2025-05-14 13:26:33.8 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,74.040,,WGS 84 / UTM zone 13N,6,7,10,6,0
N3,,344098.694,4482820.933,2102.445,,-106.83933716,40.48145335,2102.445,Global,0.4,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:26:44.0 UTC-06:00,2025-05-14 13:26:44.0 UTC-06:00,1,1.4,1.7,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,73.805,,WGS 84 / UTM zone 13N,6,7,10,6,0
N4,,344099.149,4482821.701,2101.993,,-106.83933198,40.48146035,2101.993,Global,0.3,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:27:02.8 UTC-06:00,2025-05-14 13:27:02.8 UTC-06:00,1,1.5,1.7,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,73.512,,WGS 84 / UTM zone 13N,6,7,10,6,0
N5,,344099.615,4482822.445,2101.554,,-106.83932667,40.48146714,2101.554,Global,0.1,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:27:15.4 UTC-06:00,2025-05-14 13:27:15.4 UTC-06:00,1,1.5,1.7,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,73.188,,WGS 84 / UTM zone 13N,6,7,10,6,0
N6,,344100.047,4482823.193,2101.110,,-106.83932176,40.48147396,2101.110,Global,0.2,0.012,0.012,0.010,0.017,2.134,m,FIX,2025-05-14 13:27:59.2 UTC-06:00,2025-05-14 13:27:59.2 UTC-06:00,1,1.4,1.7,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,72.923,,WGS 84 / UTM zone 13N,6,7,10,6,0
N7,,344100.591,4482823.957,2100.614,,-106.83931553,40.48148094,2100.614,Global,0.1,0.012,0.012,0.011,0.017,2.134,m,FIX,2025-05-14 13:28:13.6 UTC-06:00,2025-05-14 13:28:13.6 UTC-06:00,1,1.7,2.0,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,72.553,,WGS 84 / UTM zone 13N,6,7,10,6,0
N8,,344101.007,4482824.725,2100.162,,-106.83931081,40.48148794,2100.162,Global,0.1,0.012,0.012,0.016,0.016,2.134,m,FIX,2025-05-14 13:28:24.0 UTC-06:00,2025-05-14 13:28:24.0 UTC-06:00,1,1.3,1.6,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,72.336,,WGS 84 / UTM zone 13N,6,7,8,6,0
N9,,344101.465,4482825.448,2099.664,,-106.83930559,40.48149453,2099.664,Global,0.4,0.012,0.012,0.021,0.017,2.134,m,FIX,2025-05-14 13:28:34.8 UTC-06:00,2025-05-14 13:28:34.8 UTC-06:00,1,1.3,1.6,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,72.064,,WGS 84 / UTM zone 13N,6,7,9,6,0
N10,,344101.936,4482826.211,2099.166,,-106.83930022,40.48150149,2099.166,Global,0.3,0.012,0.012,0.014,0.017,2.134,m,FIX,2025-05-14 13:28:43.6 UTC-06:00,2025-05-14 13:28:43.6 UTC-06:00,1,1.4,1.6,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,71.824,,WGS 84 / UTM zone 13N,6,7,8,6,0
N11,,344102.437,4482826.930,2098.718,,-106.83929449,40.48150805,2098.718,Global,0.5,0.012,0.012,0.015,0.017,2.134,m,FIX,2025-05-14 13:28:55.4 UTC-06:00,2025-05-14 13:28:55.4 UTC-06:00,1,1.8,2.1,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,71.532,,WGS 84 / UTM zone 13N,6,7,9,6,0
N12,,344102.779,4482827.717,2098.222,,-106.83929065,40.48151521,2098.222,Global,0.4,0.012,0.012,0.015,0.016,2.134,m,FIX,2025-05-14 13:29:08.0 UTC-06:00,2025-05-14 13:29:08.0 UTC-06:00,1,2.0,2.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,71.434,,WGS 84 / UTM zone 13N,6,7,9,6,0
N13,,344107.468,4482835.115,2093.453,,-106.83923717,40.48158270,2093.453,Global,0.7,0.012,0.012,0.010,0.017,2.134,m,FIX,2025-05-14 13:29:50.0 UTC-06:00,2025-05-14 13:29:50.0 UTC-06:00,1,1.3,1.5,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.866,,WGS 84 / UTM zone 13N,6,7,9,6,0
N14,,344107.996,4482835.915,2093.067,,-106.83923114,40.48159001,2093.067,Global,0.3,0.012,0.012,0.010,0.017,2.134,m,FIX,2025-05-14 13:30:09.8 UTC-06:00,2025-05-14 13:30:09.8 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.759,,WGS 84 / UTM zone 13N,7,7,8,6,0
N15,,344108.496,4482836.712,2092.777,,-106.83922545,40.48159727,2092.777,Global,0.4,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:30:20.0 UTC-06:00,2025-05-14 13:30:20.0 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.679,,WGS 84 / UTM zone 13N,6,7,8,6,0
N16,,344108.910,4482837.425,2092.326,,-106.83922074,40.48160378,2092.326,Global,0.5,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:30:37.2 UTC-06:00,2025-05-14 13:30:37.2 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.649,,WGS 84 / UTM zone 13N,7,7,8,6,0
N17,,344109.355,4482838.252,2091.938,,-106.83921569,40.48161130,2091.938,Global,0.6,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:30:59.6 UTC-06:00,2025-05-14 13:30:59.6 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.673,,WGS 84 / UTM zone 13N,7,7,8,6,0
N18,,344109.888,4482839.043,2091.560,,-106.83920960,40.48161852,2091.560,Global,0.3,0.012,0.012,0.013,0.016,2.134,m,FIX,2025-05-14 13:31:12.6 UTC-06:00,2025-05-14 13:31:12.6 UTC-06:00,1,1.3,1.6,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.590,,WGS 84 / UTM zone 13N,7,7,8,6,0
N19,,344110.309,4482839.828,2091.121,,-106.83920483,40.48162568,2091.121,Global,0.3,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:31:32.0 UTC-06:00,2025-05-14 13:31:32.0 UTC-06:00,1,1.3,1.5,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.653,,WGS 84 / UTM zone 13N,7,7,9,6,0
N20,,344110.729,4482840.431,2090.424,,-106.83920002,40.48163118,2090.424,Global,0.5,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:31:48.0 UTC-06:00,2025-05-14 13:31:48.0 UTC-06:00,1,1.3,1.5,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.665,,WGS 84 / UTM zone 13N,7,7,8,6,0
N21,,344111.158,4482841.147,2089.804,,-106.83919515,40.48163771,2089.804,Global,0.6,0.012,0.012,0.010,0.017,2.134,m,FIX,2025-05-14 13:32:11.0 UTC-06:00,2025-05-14 13:32:11.0 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.713,,WGS 84 / UTM zone 13N,6,7,8,6,0
N22,,344111.678,4482841.942,2089.494,,-106.83918920,40.48164497,2089.494,Global,0.3,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:32:23.6 UTC-06:00,2025-05-14 13:32:23.6 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.709,,WGS 84 / UTM zone 13N,7,7,8,6,0
N23,,344112.179,4482842.753,2089.233,,-106.83918349,40.48165236,2089.233,Global,0.7,0.012,0.012,0.010,0.017,2.134,m,FIX,2025-05-14 13:32:31.8 UTC-06:00,2025-05-14 13:32:31.8 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.753,,WGS 84 / UTM zone 13N,6,7,9,6,0
N24,,344112.665,4482843.465,2088.790,,-106.83917794,40.48165886,2088.790,Global,0.6,0.012,0.012,0.010,0.017,2.134,m,FIX,2025-05-14 13:32:40.6 UTC-06:00,2025-05-14 13:32:40.6 UTC-06:00,1,1.3,1.5,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.764,,WGS 84 / UTM zone 13N,6,7,9,6,0
N25,,344113.198,4482844.348,2088.370,,-106.83917188,40.48166692,2088.370,Global,0.3,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:32:54.6 UTC-06:00,2025-05-14 13:32:54.6 UTC-06:00,1,1.3,1.5,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.851,,WGS 84 / UTM zone 13N,6,7,8,6,0
N26,,344113.673,4482845.068,2088.104,,-106.83916645,40.48167348,2088.104,Global,0.1,0.012,0.012,0.010,0.017,2.134,m,FIX,2025-05-14 13:33:08.0 UTC-06:00,2025-05-14 13:33:08.0 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.890,,WGS 84 / UTM zone 13N,6,7,8,6,0
N27,,344114.167,4482845.852,2087.817,,-106.83916082,40.48168064,2087.817,Global,0.4,0.012,0.012,0.011,0.016,2.134,m,FIX,2025-05-14 13:33:20.8 UTC-06:00,2025-05-14 13:33:20.8 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,69.985,,WGS 84 / UTM zone 13N,6,7,9,6,0
N28,,344114.665,4482846.751,2087.487,,-106.83915517,40.48168883,2087.487,Global,0.4,0.012,0.012,0.011,0.017,2.134,m,FIX,2025-05-14 13:33:27.8 UTC-06:00,2025-05-14 13:33:27.8 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,70.143,,WGS 84 / UTM zone 13N,6,7,10,6,0
N29,,344115.214,4482847.551,2087.314,,-106.83914888,40.48169613,2087.314,Global,0.5,0.012,0.012,0.011,0.017,2.134,m,FIX,2025-05-14 13:33:37.6 UTC-06:00,2025-05-14 13:33:37.6 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,70.186,,WGS 84 / UTM zone 13N,6,7,10,6,0
N30,,344115.657,4482848.321,2086.761,,-106.83914385,40.48170315,2086.761,Global,0.2,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:33:53.2 UTC-06:00,2025-05-14 13:33:53.2 UTC-06:00,1,1.2,1.3,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,70.385,,WGS 84 / UTM zone 13N,6,7,10,6,0
N31,,344115.975,4482848.879,2086.252,,-106.83914024,40.48170823,2086.252,Global,0.2,0.012,0.012,0.010,0.017,2.134,m,FIX,2025-05-14 13:34:09.4 UTC-06:00,2025-05-14 13:34:09.4 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,70.560,,WGS 84 / UTM zone 13N,6,7,10,6,0
N32,,344116.429,4482849.733,2085.617,North corner,-106.83913510,40.48171601,2085.617,Global,0.5,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:34:36.6 UTC-06:00,2025-05-14 13:34:36.6 UTC-06:00,1,1.3,1.5,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,70.849,,WGS 84 / UTM zone 13N,6,7,9,6,0
S41,,344145.113,4482830.629,2085.789,East Corner,-106.83879214,40.48154937,2085.789,Global,6.0,0.012,0.012,0.012,0.018,2.134,m,FIX,2025-05-14 13:36:45.8 UTC-06:00,2025-05-14 13:36:45.8 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,37.543,,WGS 84 / UTM zone 13N,6,7,8,6,0
S40,,344144.152,4482829.027,2086.382,,-106.83880309,40.48153477,2086.382,Global,0.6,0.012,0.012,0.010,0.017,2.134,m,FIX,2025-05-14 13:37:05.8 UTC-06:00,2025-05-14 13:37:05.8 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,37.110,,WGS 84 / UTM zone 13N,6,7,9,6,0
S39,,344143.462,4482828.353,2086.608,,-106.83881105,40.48152857,2086.608,Global,0.5,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:37:19.0 UTC-06:00,2025-05-14 13:37:19.0 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,37.136,,WGS 84 / UTM zone 13N,6,7,9,6,0
S38,,344142.903,4482827.656,2086.958,,-106.83881748,40.48152219,2086.958,Global,0.2,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:37:31.0 UTC-06:00,2025-05-14 13:37:31.0 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,37.025,,WGS 84 / UTM zone 13N,6,7,9,6,0
S37,,344142.305,4482826.868,2087.237,,-106.83882434,40.48151498,2087.237,Global,0.3,0.012,0.012,0.010,0.017,2.134,m,FIX,2025-05-14 13:37:42.2 UTC-06:00,2025-05-14 13:37:42.2 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,36.944,,WGS 84 / UTM zone 13N,6,7,9,6,0
S36,,344141.652,4482826.083,2087.598,,-106.83883184,40.48150779,2087.598,Global,0.3,0.012,0.012,0.011,0.016,2.134,m,FIX,2025-05-14 13:38:00.4 UTC-06:00,2025-05-14 13:38:00.4 UTC-06:00,1,1.2,1.4,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,36.917,,WGS 84 / UTM zone 13N,7,7,9,6,0
S35,,344141.019,4482825.570,2088.056,,-106.83883919,40.48150305,2088.056,Global,0.7,0.012,0.012,0.011,0.017,2.134,m,FIX,2025-05-14 13:40:03.2 UTC-06:00,2025-05-14 13:40:03.2 UTC-06:00,1,1.1,1.3,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,37.042,,WGS 84 / UTM zone 13N,6,7,9,6,0
S34,,344140.535,4482824.859,2088.509,,-106.83884472,40.48149656,2088.509,Global,0.1,0.012,0.012,0.010,0.016,2.134,m,FIX,2025-05-14 13:40:26.4 UTC-06:00,2025-05-14 13:40:26.4 UTC-06:00,1,1.1,1.3,344170.925,4482806.392,2100.591,-106.83848181,40.48133598,2100.591,36.938,,WGS 84 / UTM zone 13N,7,7,9,6,0
